CSDUID,population,pop_dens
1001485,27168,454.9
1001542,22477,1436.2
1001517,22957,773.8
1005017,1606,655.1
1103014,1812,571.6
1103025,16001,567.2
1102075,38809,876.6
1102080,10927,482
1214002,4656,934.5
1211011,9404,779.4
1203006,2001,634
1207024,5057,783.3
1206004,8790,644.9
1206006,2396,593.3
1212014,9471,951.3
1212009,4007,445.6
1202006,6829,646.3
1306020,20584,603.7
1305022,4440,498.9
1314022,2141,504.7
1303012,9045,404.5
1307022,79470,564.9
1310032,63116,471.3
2476055,1816,644.6
2439062,47760,566.4
2446035,2558,604.3
2452035,4386,647.8
2452080,2803,998.6
2472010,17915,2947.8
2472020,6281,1367.7
2472005,45276,642.1
2472015,19797,2267.4
2449075,1708,406.5
2437067,139163,482.1
2481017,291041,851.4
2461025,21384,931.2
2461030,9471,523.2
2461035,15285,827
2460005,6302,2906.2
2460013,86100,1399.6
2432040,6414,1304.2
2421045,8231,404.3
2447017,69025,452.1
2447025,4920,402.2
2409065,1729,688.8
2475017,80213,889.5
2489804,1285,409.2
2483065,3757,662.8
2457040,24104,988.8
2457005,31444,1253.7
2457025,5936,1904
2457035,18859,427.8
2457030,8479,1578.2
2457020,17053,475.8
2465005,438366,1781
2456083,97873,431.3
2441060,3840,489.8
2469055,2556,924.2
2442098,3259,466.8
2411040,3115,408.1
2468030,4020,893.3
2454025,2268,422.9
2464015,51183,478.8
2464008,119944,780.1
2458033,41743,587.8
2458007,91525,2025.3
2458227,254483,2198.2
2458037,26273,613.2
2458012,22761,3009.8
2459010,30045,619.6
2466112,3764,623.9
2466107,19277,1747.5
2466058,34504,4903.7
2466142,48403,3230.2
2466087,19302,923
2466062,7037,3922.1
2466102,19413,2012
2466072,20953,2776.7
2466023,1762949,4833.5
2466047,5115,3737.9
2466097,33488,1770.9
2466117,5027,480.8
2466032,19658,4860.9
2480050,3084,463.8
2453050,1581,1164.5
2453052,35165,614
2484060,1312,443.9
2423057,16970,2197
2423027,549459,1214.8
2467020,22997,1331.3
2467050,50815,1481.2
2467025,8328,1089.6
2467015,26406,607.4
2467035,29954,524.9
2467030,17347,1851.4
2443027,172950,489.4
2473015,59819,1088.2
2473030,10159,2327.8
2473005,28308,1022.9
2473025,9502,1609.9
2473020,14090,1318.7
2473010,26533,2798.9
2485025,2464,422.4
2471060,11638,2130.1
2471033,5643,485
2471065,11427,407.3
2471070,14751,2078
2471055,1775,646.8
2471075,1887,1782.4
2471083,43268,595.5
2471090,1361,983
3529006,104688,1061.2
3522014,30167,1989.5
3522021,8994,1370.8
3518005,126666,1900.6
3518013,175383,1203.6
3518001,99186,429.2
3518009,138501,944.1
3534011,7699,1208.6
3534021,42840,1203.2
3537034,32721,503.7
3537039,229660,1572.8
3542029,7967,814.6
3542059,21612,892.6
3524002,186948,1004.4
3524001,213759,1538.5
3525005,569353,509.1
3512002,1747,693.5
3540028,7881,923.1
3538019,6013,482.6
3538031,1930,585
3538030,72047,439.6
3509028,12517,1259.4
3509021,6469,529.8
3509004,9254,958.1
3507015,22116,1057.8
3507024,5383,768.4
3507008,4078,826
3539036,422324,1004.3
3526065,28883,420.4
3526043,94415,449.1
3526053,136803,1422.1
3526032,55750,686.9
3548021,1881,513.1
3514021,20519,915.7
3532018,13693,1075.3
3532004,18615,838.6
3532042,46705,827.2
3549032,6879,524.9
3521010,656480,2469
3521005,717961,2452.5
3531016,7386,593.8
3531011,33232,1107
3515014,83651,1291.8
3502044,3960,772.2
3502008,10194,1009.7
3547002,9629,738.5
3547064,14364,1002.8
3547048,8190,639.3
3543042,147829,1493.1
3543031,24811,748.3
3543074,17817,504.3
3543052,33411,1171.1
3543064,24862,433
3501012,47845,777.9
3554052,1442,494.2
3520005,2794356,4427.8
3530010,138479,1225.5
3530013,256885,1877.6
3530016,121436,1895.8
3523008,143740,1644.1
3519046,62057,1241.1
3519036,338503,1604.8
3519048,87942,2284.1
3519038,202022,2004.4
3519028,323103,1185.9
4601060,1064,470.7
4602046,5947,683.7
4602037,1305,500.5
4602061,2891,699
4602044,17806,474.1
4603040,4267,456.3
4603074,3114,721.5
4603053,9929,609.6
4603050,13745,663.1
4607062,51313,649.2
4609029,13270,536.8
4611040,749607,1623.3
4612056,3307,609.6
4613047,10504,429.3
4614039,5046,846.4
4617050,8368,660.5
4618074,1279,576.6
4620048,4049,595
4622026,13035,784.3
4701008,1150,441
4701024,10851,592.9
4702047,11019,579.1
4703036,2333,633.6
4704048,2176,500
4705052,2345,421.6
4705016,1076,421.9
4706039,1902,617.7
4706031,2638,462.3
4706027,226404,1266.2
4706030,3702,489.7
4707037,1033,566.3
4707039,33665,511.5
4708004,16750,571.6
4709012,16280,449.8
4710068,1269,423.8
4711073,1766,537.8
4711070,10549,777.9
4711075,1251,771.7
4711066,266141,1174.7
4711068,12419,948.3
4713051,1247,409.2
4714051,5955,404.2
4714076,4570,512
4714044,2962,451.9
4715068,1066,446.6
4715008,6033,453.5
4715066,37756,562.1
4715028,1237,628.1
4716029,13836,412.4
4717052,5322,430.2
4801006,63271,565.1
4802034,14924,819.8
4802019,8771,645.9
4802013,2869,931.3
4802036,1053,545.9
4802012,98406,812.5
4802014,1438,848.6
4802018,1930,639.7
4802008,4199,550.2
4802009,1164,431.8
4802022,8862,458.6
4802029,1286,474.7
4803004,3724,434.1
4803002,2481,422
4803026,2167,423.9
4805018,14339,531.5
4805048,3042,451.2
4806021,74100,878.1
4806011,5341,424.9005568814638
4806016,1306784,1592.4
4806029,4898,416.2
4806017,22163,675
4806019,32199,1019.5
4806006,14324,645.4
4806012,30405,788.7
4806034,9209,617.3
4807002,1900,400.1
4807026,5695,431.9
4807054,6606,543
4808026,1042,464.4
4808029,10470,631.4
4808024,1014,629.5
4808008,7985,411.7
4808031,13396,650.8
4808039,7331,425.8
4808011,100844,966.5
4808012,15995,692.8
4809015,6765,518.3
4810011,18772,450.5
4810039,31582,751.2369172216936
4810052,1416,454.7
4810028,5689,404
4811013,20888,845.6
4811019,2183,467.6
4811018,6545,459.1
4811061,1010899,1320.4
4811056,27088,479.4
4811016,34094,806.9
4811068,10385,931
4811049,37645,1003.3
4811062,68232,1426.4
4811048,17993,507.6
4811002,12594,671.6
4812009,6404,452.1
4812018,5863,678.7
4813019,4320,527.1
4815035,8305,2033.8
4817029,6836,477.7
4819009,2271,421.9
4819012,64141,483.3
5923008,18259,928.9
5917015,17385,421.9
5917041,18961,1073.6
5917040,17533,2476.7
5917044,46584,1124.4
5917030,17990,1710.1
5917021,117735,1136.6
5917010,12318,2412.8
5917034,91867,4722.3
5917047,11575,807.6
5903045,8338,419.6
5903004,5583,664.2
5903015,11106,930.6
5903011,1140,466.4
5935010,144576,682.4
5926005,14806,877.7
5926010,28420,876.7
5919012,5047,2444.5
5919021,8990,746.5
5919016,3325,403.5
5901022,20499,641.2
5901012,6320,418.3
5909052,153524,409
5915025,249125,2750.7
5915034,148625,1216.7
5915011,108455,603.7
5915001,132603,431.6
5915002,28963,2845.2
5915065,1390,549
5915029,78916,5052.4
5915046,88168,548.8
5915051,58120,4913
5915039,61498,2108.7
5915043,33535,1297.3
5915015,209937,1629
5915004,568322,1797.9
5915022,662248,5749.9
5915055,44122,506.1
5915007,21939,4240.6
5905005,1958,724.7
5905009,1013,693.1
5905018,1753,929.3
5921007,99863,1104.1
5921018,13642,939.5
5921023,9303,517.5
5937028,5323,1020
5937033,3028,710.4
5937014,44519,461.7
5907009,1608,768.3
5907014,5094,927.9
5907005,5556,660.7
5907041,36885,857.3
5955014,12323,461.1
5955034,21465,656.9
5927008,13943,482.4
5929005,4758,1103.2
5933054,2399,639.3
